INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475608650,47.7330064,10.3477236,47.73300207,10.34771469,0.820652,9094,0.7896,47.73300584,10.34772362,8
475608700,47.7329951,10.3477339,47.73298669,10.3477287,0.818025,9095,0.7896,47.73299046,10.34773763,8
475608750,47.7329838,10.3477442,47.73297901,10.34773572,0.82042,9096,0.7896,47.73298278,10.34774465,8
475608800,47.7329724,10.3477545,47.73296365,10.34774976,0.814557,9097,0.7896,47.73296742,10.34775869,8
475608850,47.7329611,10.3477648,47.73295596,10.34775677,0.810989,9098,0.7896,47.73295973,10.3477657,8
475608900,47.7329497,10.3477751,47.73294056,10.34777069,0.816984,9099,0.7896,47.73294433,10.34777962,8
475608950,47.7329384,10.3477854,47.73293292,10.34777764,0.812703,9100,0.7896,47.73293669,10.34778657,8
475609000,47.732927,10.3477957,47.73291754,10.34779162,0.812353,9101,0.7896,47.73292131,10.34780055,1
475609050,47.7329157,10.347806,47.73290985,10.34779861,0.811474,9102,0.7896,47.73291362,10.34780754,1
475609100,47.7329043,10.3478164,47.73289446,10.34781259,0.811683,9103,0.798,47.73289827,10.34782162,1
475609150,47.732893,10.3478267,47.73288677,10.34781958,0.815211,9104,0.7896,47.73289054,10.34782851,1
475609200,47.7328817,10.347837,47.73287908,10.34782658,0.818044,9105,0.7896,47.73288285,10.34783551,1
475609250,47.7328703,10.3478473,47.73286369,10.34784056,0.813494,9106,0.7896,47.73286746,10.34784949,1
475609300,47.732859,10.3478577,47.732856,10.34784755,0.822317,9107,0.7896,47.73285977,10.34785648,1
475609350,47.7328476,10.347868,47.73284062,10.34786153,0.821205,9108,0.7959,47.73284442,10.34787053,1
475609400,47.7328362,10.3478783,47.73283292,10.34786852,0.815284,9109,0.7896,47.73283669,10.34787745,1
475609450,47.7328249,10.3478887,47.73281754,10.3478825,0.821699,9110,0.7833,47.73282128,10.34789136,1
475609500,47.7328135,10.347899,47.73280984,10.34788949,0.819849,9111,0.7875,47.7328136,10.3478984,1
475609550,47.7328022,10.3479093,47.73279446,10.34790347,0.817062,9112,0.777,47.73279817,10.34791226,1
475609600,47.7327908,10.3479197,47.73278676,10.34791046,0.824823,9113,0.7791,47.73279048,10.34791927,1
475609650,47.7327795,10.34793,47.73277138,10.34792444,0.822861,9114,0.7812,47.73277511,10.34793328,1
475609700,47.7327681,10.3479403,47.73276368,10.34793143,0.822968,9115,0.7854,47.73276743,10.34794032,1
475609750,47.7327567,10.3479506,47.7327483,10.34794541,0.816962,9116,0.777,47.73275201,10.3479542,1
475609800,47.7327454,10.3479609,47.7327406,10.3479524,0.822265,9117,0.7749,47.7327443,10.34796117,1
475609850,47.732734,10.3479712,47.73272522,10.34796638,0.818651,9118,0.7728,47.73272891,10.34797512,1
475609900,47.7327226,10.3479816,47.73271752,10.34797337,0.820198,9119,0.7728,47.73272121,10.34798211,1
475609950,47.7327113,10.3479919,47.73270213,10.34798735,0.821927,9120,0.7686,47.7327058,10.34799605,1
475610000,47.7326999,10.3480022,47.73269444,10.34799434,0.81988,9121,0.7623,47.73269808,10.34800296,1
475610050,47.7326885,10.3480125,47.73267905,10.34800832,0.813137,9122,0.7707,47.73268273,10.34801704,1
475610100,47.7326771,10.3480228,47.73267136,10.34801531,0.811833,9123,0.7644,47.73267501,10.34802396,1
475610150,47.7326658,10.3480331,47.73265597,10.34802929,0.810909,9124,0.7644,47.73265962,10.34803794,1
475610200,47.7326544,10.3480434,47.73264828,10.34803628,0.811502,9125,0.7644,47.73265193,10.34804493,1
475610250,47.732643,10.3480538,47.73263289,10.34805026,0.814973,9126,0.7665,47.73263655,10.34805893,1
475610300,47.7326316,10.3480641,47.73262519,10.34805725,0.807374,9127,0.7686,47.73262886,10.34806595,1
475610350,47.7326202,10.3480744,47.7326175,10.34806424,0.805896,9128,0.2667,47.73261877,10.34806726,1
475610400,47.7326088,10.3480847,47.73260211,10.34807821,0.804251,9129,0.735,47.73260562,10.34808653,1
475610450,47.7325975,10.348095,47.73259442,10.3480852,0.804099,9130,0.6258,47.73259741,10.34809228,1
475610500,47.7325861,10.3481053,47.73257903,10.34809918,0.802271,9131,0.7686,47.7325827,10.34810788,1
