INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475608550, 47.73302910, 10.34770300, 47.73302516, 10.34769380, 0.816315, 9092, 0.779100, 47.73302888, 10.34770261, 8
475608600, 47.73301780, 10.34771330, 47.73300976, 10.34770771, 0.826474, 9093, 0.781200, 47.73301349, 10.34771655, 8
475608650, 47.73300640, 10.34772360, 47.73300207, 10.34771469, 0.820652, 9094, 0.789600, 47.73300584, 10.34772362, 8
475608700, 47.73299510, 10.34773390, 47.73298669, 10.34772870, 0.818025, 9095, 0.789600, 47.73299046, 10.34773763, 8
475608750, 47.73298380, 10.34774420, 47.73297901, 10.34773572, 0.820420, 9096, 0.789600, 47.73298278, 10.34774465, 8
475608800, 47.73297240, 10.34775450, 47.73296365, 10.34774976, 0.814557, 9097, 0.789600, 47.73296742, 10.34775869, 8
475608850, 47.73296110, 10.34776480, 47.73295596, 10.34775677, 0.810989, 9098, 0.789600, 47.73295973, 10.34776570, 8
475608900, 47.73294970, 10.34777510, 47.73294056, 10.34777069, 0.816984, 9099, 0.789600, 47.73294433, 10.34777962, 8
475608950, 47.73293840, 10.34778540, 47.73293292, 10.34777764, 0.812703, 9100, 0.789600, 47.73293669, 10.34778657, 8
475609000, 47.73292700, 10.34779570, 47.73291754, 10.34779162, 0.812353, 9101, 0.789600, 47.73292131, 10.34780055, 1
475609050, 47.73291570, 10.34780600, 47.73290985, 10.34779861, 0.811474, 9102, 0.789600, 47.73291362, 10.34780754, 1
475609100, 47.73290430, 10.34781640, 47.73289446, 10.34781259, 0.811683, 9103, 0.798000, 47.73289827, 10.34782162, 1
475609150, 47.73289300, 10.34782670, 47.73288677, 10.34781958, 0.815211, 9104, 0.789600, 47.73289054, 10.34782851, 1
475609200, 47.73288170, 10.34783700, 47.73287908, 10.34782658, 0.818044, 9105, 0.789600, 47.73288285, 10.34783551, 1
475609250, 47.73287030, 10.34784730, 47.73286369, 10.34784056, 0.813494, 9106, 0.789600, 47.73286746, 10.34784949, 1
475609300, 47.73285900, 10.34785770, 47.73285600, 10.34784755, 0.822317, 9107, 0.789600, 47.73285977, 10.34785648, 1
475609350, 47.73284760, 10.34786800, 47.73284062, 10.34786153, 0.821205, 9108, 0.795900, 47.73284442, 10.34787053, 1
