Time(S), Latitude, Longitude, CM_D2L, New_Lat, New_lon
71.681,47.667789,10.414269,0.497609,47.66782,10.414313
71.781,47.667797,10.414266,0.497956,47.667828,10.414308
71.881,47.667805,10.414262,0.497033,47.667835,10.414303
71.981,47.667809,10.414257,0.49518,47.667835,10.414303
72.081,47.667816,10.414253,0.492991,47.667843,10.414297
72.181,47.667824,10.414249,0.491059,47.667854,10.414292
72.281,47.667828,10.414245,0.489973,47.667862,10.414287
72.381,47.667835,10.414241,0.490165,47.66787,10.414281
72.481,47.667843,10.414237,0.491054,47.66787,10.414281
72.581,47.667847,10.414232,0.491879,47.667877,10.414276
72.681,47.667854,10.414228,0.49184,47.667885,10.41427
72.781,47.667862,10.414225,0.490718,47.667892,10.414266
72.881,47.667866,10.41422,0.489164,47.667892,10.414266
72.981,47.667873,10.414216,0.487894,47.667904,10.41426
73.081,47.667881,10.414212,0.487476,47.667912,10.414254
73.181,47.667885,10.414207,0.48848,47.667919,10.414249
73.281,47.667892,10.414204,0.492895,47.667919,10.414249
73.381,47.6679,10.4142,0.499893,47.667927,10.414244
73.481,47.667904,10.414195,0.504658,47.667934,10.414238
73.581,47.667912,10.414191,0.50617,47.667942,10.414233
73.681,47.667919,10.414187,0.507046,47.667953,10.414227
73.781,47.667923,10.414183,0.507477,47.667953,10.414227
73.881,47.667931,10.414179,0.507516,47.667961,10.414223
73.981,47.667938,10.414175,0.507218,47.667969,10.414217
74.081,47.667942,10.41417,0.506632,47.667976,10.414211
74.181,47.66795,10.414166,0.505816,47.667976,10.414211
74.281,47.667957,10.414163,0.504823,47.667984,10.414207
